Adam;12/24
Adéla;9/2
Adolf;6/17
Adrian;6/26
Adriana;6/26
Agáta;10/14
Alan;8/14
Albert;11/21
Albína;12/16
Alena;8/13
Aleš;4/13
Alexandr;2/27
Alexandra;4/21
Alexej;5/3
Alice;1/15
Alina;7/28
Alois;6/21
Alžběta;11/19
Amálie;7/10
Ambrož;12/7
Anastázie;4/15
Anděla;3/11
Andrea;9/26
Andrej;10/11
Aneta;5/17
Anežka;3/2
Anna;7/26
Anton;6/13
Antonie;6/12
Antonín;6/13
Apolena;2/9
Arnošt;3/30
Artur;11/26
Augustýn;8/28
Barbara;12/4
Barbora;12/4
Bartoloměj;8/24
Bastian;1/20
Beáta;10/25
Beatrice;7/29
Bedřich;3/1
Běla;1/21
Benedikt;11/12
Benjamín;12/7
Bernard;8/20
Bernd;8/20
Bernhard;8/20
Berta;9/23
Bibiana;12/2
Blahoslav;4/30
Blanka;12/2
Blažej;2/3
Blažena;5/10
Bohdan;11/9
Bohdana;1/11
Bohumil;10/3
Bohumila;12/28
Bohumír;11/8
Bohuslav;8/22
Bohuslava;7/7
Boleslav;9/6
Bonifác;5/14
Boris;9/5
Bořek;7/12
Bořivoj;7/30
Božena;2/11
Boží hod vánoční;12/25
Brigita;10/21
Bronislav;9/3
Bruno;6/11
Břetislav;1/10
Cecílie;11/22
Ctibor;5/9
Ctirad;1/16
Čeněk;7/19
Čestmír;1/8
Dagmar;12/20
Dalibor;6/4
Dalimil;1/5
Dan;12/17
Dana;12/11
Danica;1/26
Daniel;12/17
Daniela;9/9
Danuše;12/11
Darina;9/22
Darja;4/10
David;12/30
Dávid;12/30
Den Cyrila a Metoděje;7/5
Denisa;9/11
Den osvobození ČSR;5/8
Diana;1/4
Dita;3/27
Dobromila;2/5
Dobroslav;6/5
Dominik;8/4
Dominika;8/4
Dorota;2/26
Doubravka;1/19
Drahomíra;7/18
Drahoslav;1/17
Drahoslava;7/9
Dušan;4/9
Edita;1/13
Eduard;3/18
Elena;3/16
Eliška;10/5
Ema;4/8
Emanuel;3/26
Emil;5/22
Emílie;11/24
Erik;10/26
Erika;4/2
Ester;12/19
Eva;12/24
Evelína;8/29
Evžen;11/10
Evženie;4/22
Felix;11/1
Ferdinand;5/30
Filip;5/26
František;10/4
Františka;3/9
Gábina;3/8
Gabriel;3/24
Gabriela;3/8
Gita;6/10
Gizela;2/18
Gregor;3/12
Gustav;8/2
Hana;8/15
Hanka;8/15
Hanuš;10/6
Havel;10/16
Hedvika;10/17
Helena;8/18
Herbert;3/16
Hermína;4/7
Heřman;4/7
Hubert;11/3
Hugo;4/1
Hynek;2/1
Ida;3/15
Ignác;7/31
Igor;10/1
Ilja;7/20
Ilona;1/20
Ingrid;1/27
Inka;1/27
Irena;4/16
Irma;9/10
Iva;12/1
Ivan;6/25
Ivana;4/4
Iveta;6/7
Ivo;5/19
Ivona;3/23
Ivoš;5/19
Izabela;4/11
Jáchym;8/16
Jakub;7/25
Jan;6/24
Ján;6/24
Jana;5/24
Janka;5/24
Jarmil;6/2
Jarmila;2/4
Jaromír;9/24
Jaroslav;4/27
Jaroslava;7/1
Jeroným;9/30
Jindřich;7/15
Jindra;9/4
Jindřiška;9/4
Jiří;4/24
Jiřina;2/15
Jitka;12/5
Jitřenka;1/26
Johana;8/21
Jolana;9/15
Jonáš;9/27
Josef;3/19
Judita;12/29
Julie;12/10
Julius;4/12
Juraj;4/24
Justýna;10/7
Kamil;3/3
Kamila;5/31
Karel;11/4
Karina;1/2
Karolína;7/14
Katarína;11/25
Kateřina;11/25
Kazimir;3/5
Klára;8/12
Klaudie;5/5
Klement;11/23
Kristian;8/5
Kristýna;7/24
Kryštof;9/18
Květa;6/20
Květoslav;5/4
Květoslava;12/8
Kvido;3/31
Lada;8/7
Ladislav;6/27
Laura;6/1
Lena;2/21
Lenka;2/21
Leona;3/22
Leopold;11/15
Leoš;6/19
Liběna;11/6
Libor;7/23
Libuše;7/10
Lidmila;9/16
Liliana;2/25
Linda;9/1
Ljuba;2/16
Lubomír;6/28
Lubor;9/13
Luboš;7/16
Ľuboš;9/24
Lucia;12/13
Lucie;12/13
Luděk;8/26
Ludmila;9/16
Ľudovít;8/25
Ludvík;8/19
Lukáš;10/18
Lumír;2/28
Lýdie;12/14
Magda;7/22
Magdaléna;7/22
Mahulena;11/17
Marcel;10/12
Marcela;4/20
Marek;4/25
Marian;3/25
Marián;3/25
Mariana;9/8
Marie;9/12
Marika;1/31
Marina;10/10
Markéta;7/13
Maroš;11/11
Marta;7/29
Martin;11/11
Martina;7/17
Matěj;2/24
Matouš;9/21
Matylda;3/14
Maxmilián;5/29
Medard;6/8
Michael;9/29
Michaela;10/19
Michal;9/29
Michala;10/19
Mikuláš;12/6
Milada;2/8
Milan;6/18
Milena;1/24
Miloslav;12/18
Miloslava;2/17
Miloš;1/25
Miluše;8/3
Miriam;11/5
Mirka;4/5
Miroslav;3/6
Miroslava;4/5
Mojmír;2/10
Monika;5/21
Naďa;9/17
Naděžda;9/17
Natálie;12/21
Nataša;5/18
Nela;2/2
Nikol;11/20
Nikola;11/20
Nina;10/24
Nora;7/8
Norbert;6/6
Novýrok;1/1
Oldřich;2/20
Oldřiška;8/6
Oleg;9/20
Olga;7/11
Oliver;10/2
Olivie;10/2
